,,,Health Outcomes,,Health Factors,,
FIPS,State,County,Z-Score,Rank,Z-Score,Rank,
12000,Florida,,,,,,
12001,Florida,Alachua,-0.23,31,-0.81,3,
12003,Florida,Baker,0.34,45,0.08,37,
12005,Florida,Bay,0.23,44,-0.26,26,
12007,Florida,Bradford,0.87,58,0.44,50,
12009,Florida,Brevard,-0.29,28,-0.49,15,
12011,Florida,Broward,-0.81,13,-0.34,23,
12013,Florida,Calhoun,0.09,39,0.57,55,
12015,Florida,Charlotte,-0.35,25,-0.38,20,
12017,Florida,Citrus,0.83,55,0.24,43,
12019,Florida,Clay,-0.40,21,-0.57,12,
12021,Florida,Collier,-1.56,1,-0.66,7,
12023,Florida,Columbia,0.86,57,0.21,41,
12027,Florida,DeSoto,0.00,36,0.71,61,
12029,Florida,Dixie,1.10,63,0.70,60,
12031,Florida,Duval,0.35,46,-0.16,30,
12033,Florida,Escambia,0.54,51,-0.10,33,
12035,Florida,Flagler,-0.41,20,-0.33,24,
12037,Florida,Franklin,-0.03,35,0.39,49,
12039,Florida,Gadsden,1.33,64,0.88,65,
12041,Florida,Gilchrist,0.06,38,0.13,39,
12043,Florida,Glades,0.55,52,0.59,56,
12045,Florida,Gulf,0.20,42,-0.28,25,
12047,Florida,Hamilton,0.92,60,1.11,66,
12049,Florida,Hardee,-0.07,34,0.63,58,
12051,Florida,Hendry,0.21,43,0.87,64,
12053,Florida,Hernando,0.03,37,-0.01,36,
12055,Florida,Highlands,0.48,49,0.30,46,
12057,Florida,Hillsborough,-0.74,15,-0.41,18,
12059,Florida,Holmes,1.08,62,0.48,52,
12061,Florida,Indian River,-0.82,10,-0.40,19,
12063,Florida,Jackson,1.04,61,0.37,47,
12065,Florida,Jefferson,0.54,50,0.22,42,
12067,Florida,Lafayette,0.20,41,0.37,48,
12069,Florida,Lake,-0.40,22,-0.23,28,
12071,Florida,Lee,-0.81,11,-0.41,17,
12073,Florida,Leon,-0.35,24,-0.54,14,
12075,Florida,Levy,0.71,54,0.60,57,
12077,Florida,Liberty,-0.11,32,0.68,59,
12079,Florida,Madison,1.52,65,0.79,63,
12081,Florida,Manatee,-0.77,14,-0.54,13,
12083,Florida,Marion,0.56,53,0.25,44,
12085,Florida,Martin,-1.13,5,-0.71,5,
12086,Florida,Miami-Dade,-1.10,6,-0.12,32,
12087,Florida,Monroe,-1.23,4,-0.66,6,
12089,Florida,Nassau,-0.28,30,-0.65,8,
12091,Florida,Okaloosa,-0.64,16,-0.62,9,
12093,Florida,Okeechobee,0.40,48,0.47,51,
12095,Florida,Orange,-0.91,7,-0.34,22,
12097,Florida,Osceola,-0.87,8,0.21,40,
12099,Florida,Palm Beach,-0.86,9,-0.60,10,
12101,Florida,Pasco,-0.09,33,-0.20,29,
12103,Florida,Pinellas,-0.50,17,-0.48,16,
12105,Florida,Polk,-0.28,29,0.13,38,
12107,Florida,Putnam,1.94,66,1.14,67,
12109,Florida,St. Johns,-1.55,2,-1.24,1,
12111,Florida,St. Lucie,-0.36,23,-0.01,35,
12113,Florida,Santa Rosa,-0.49,19,-0.58,11,
12115,Florida,Sarasota,-0.81,12,-0.83,2,
12117,Florida,Seminole,-1.33,3,-0.79,4,
12119,Florida,Sumter,-0.33,26,-0.08,34,
12121,Florida,Suwannee,0.39,47,0.49,53,
12123,Florida,Taylor,0.83,56,0.54,54,
12125,Florida,Union,1.94,67,0.29,45,
12127,Florida,Volusia,0.10,40,-0.15,31,
12129,Florida,Wakulla,-0.30,27,-0.24,27,
12131,Florida,Walton,-0.50,18,-0.38,21,
12133,Florida,Washington,0.91,59,0.72,62,
