FIPS,State,County,% Fair or Poor Health,Food Environment Index,% Adults with Obesity
12000,Florida,,13,6.9,28
12001,Florida,Alachua,15,7.6,32
12003,Florida,Baker,18,7.0,38
12005,Florida,Bay,16,7.1,31
12007,Florida,Bradford,22,7.7,38
12009,Florida,Brevard,14,7.3,33
12011,Florida,Broward,16,8.4,31
12013,Florida,Calhoun,22,5.9,37
12015,Florida,Charlotte,15,6.8,30
12017,Florida,Citrus,16,6.2,32
12019,Florida,Clay,15,8.0,35
12021,Florida,Collier,15,8.1,27
12023,Florida,Columbia,19,7.7,34
12027,Florida,DeSoto,25,7.0,42
12029,Florida,Dixie,21,7.5,39
12031,Florida,Duval,16,7.3,35
12033,Florida,Escambia,16,7.0,35
12035,Florida,Flagler,15,6.7,33
12037,Florida,Franklin,20,7.7,38
12039,Florida,Gadsden,23,7.9,43
12041,Florida,Gilchrist,19,8.3,36
12043,Florida,Glades,23,5.9,40
12045,Florida,Gulf,17,8.1,33
12047,Florida,Hamilton,25,6.5,39
12049,Florida,Hardee,26,6.6,41
12051,Florida,Hendry,26,7.0,37
12053,Florida,Hernando,17,6.8,36
12055,Florida,Highlands,19,6.1,39
12057,Florida,Hillsborough,15,7.7,30
12059,Florida,Holmes,22,5.6,37
12061,Florida,Indian River,15,7.2,32
12063,Florida,Jackson,21,7.5,35
12065,Florida,Jefferson,19,7.7,35
12067,Florida,Lafayette,23,7.9,37
12069,Florida,Lake,16,7.1,36
12071,Florida,Lee,15,7.3,28
12073,Florida,Leon,15,7.4,35
12075,Florida,Levy,20,7.4,37
12077,Florida,Liberty,21,6.7,40
12079,Florida,Madison,25,6.3,40
12081,Florida,Manatee,15,7.9,31
12083,Florida,Marion,18,7.0,38
12085,Florida,Martin,13,7.7,29
12086,Florida,Miami-Dade,20,8.4,30
12087,Florida,Monroe,14,7.6,30
12089,Florida,Nassau,13,7.4,31
12091,Florida,Okaloosa,14,7.4,32
12093,Florida,Okeechobee,21,5.5,34
12095,Florida,Orange,17,7.5,30
12097,Florida,Osceola,19,6.5,35
12099,Florida,Palm Beach,15,8.2,28
12101,Florida,Pasco,16,7.1,32
12103,Florida,Pinellas,14,7.8,28
12105,Florida,Polk,18,6.8,36
12107,Florida,Putnam,23,6.9,37
12109,Florida,St. Johns,12,8.5,25
12111,Florida,St. Lucie,17,6.9,35
12113,Florida,Santa Rosa,14,7.7,31
12115,Florida,Sarasota,13,7.9,27
12117,Florida,Seminole,12,8.2,30
12119,Florida,Sumter,14,7.9,34
12121,Florida,Suwannee,18,7.7,36
12123,Florida,Taylor,21,6.2,37
12125,Florida,Union,21,6.3,36
12127,Florida,Volusia,16,7.1,35
12129,Florida,Wakulla,16,8.8,33
12131,Florida,Walton,14,7.4,30
12133,Florida,Washington,22,5.3,37
