NAME,ADDRESS,GRAGE_PARK,SURF_PARK,LAT,LON
DADELAND SOUTH,9150 DADELAND BLVD,1087,198,25.685,-80.31369
DADELAND NORTH,8300 S DIXIE HWY,1963,0,25.69194,-80.30511
SOUTH MIAMI,5949 SUNSET DR,1774,0,25.70504,-80.28908
UNIVERSITY,5400 PONCE DE LEON BLVD,0,295,25.71482,-80.27698
DOUGLAS ROAD,3060 SW 37TH CT,0,440,25.73275,-80.25487
COCONUT GROVE,2780 SW 27TH AVE,0,199,25.73981,-80.23885
VIZCAYA,3201 SW 1ST AVE,0,91,25.7497,-80.21177
BRICKELL,1001 SW 1ST AVE,0,0,25.76382,-80.19546
CIVIC CENTER,1501 NW 12TH AVE,0,0,25.78967,-80.21503
SANTA CLARA,2050 NW 12TH AVE,0,104,25.7958,-80.2152
ALLAPATTAH,3501 NW 12TH AVE,0,66,25.80869,-80.21546
EARLINGTON HEIGHTS,2100 NW 41ST ST,93,0,25.81245,-80.22995
BROWNSVILLE,5200 NW 27TH AVE,0,428,25.82207,-80.24072
"DR. MARTIN LUTHER KING, JR. PLAZA",6205 NW 27TH AVE,100,0,25.83239,-80.24121
NORTHSIDE,3150 NW 79TH ST,0,294,25.8458,-80.24878
TRI-RAIL,1125 E 25TH ST,0,50,25.84544,-80.25979
HIALEAH,125 E 21ST ST,0,315,25.84118,-80.27904
OKEECHOBEE,2005 W OKEECHOBEE RD,939,142,25.83981,-80.30157
CULMER,701 NW 11TH ST,0,0,25.78456,-80.20754
GOVERNMENT CENTER,101 NW 1ST ST,0,0,25.77604,-80.1961
HISTORIC OVERTOWN/LYRIC THEATRE,100 NW 6TH ST,0,35,25.78099,-80.19628
PALMETTO,7701 NW 79TH AVE,0,700,25.8434,-80.32374
